Date,Death Rate (%)
2020-12-15,0.11743291644647993
2020-12-16,0.18466950021984466
2020-12-17,0.1666698967034245
2020-12-18,0.18171067622330223
2020-12-19,0.1747612738155069
2020-12-20,0.16774254346699335
2020-12-21,0.15583294708072945
2020-12-22,0.1495492751014304
2020-12-23,0.15684312026266645
2020-12-24,0.1666058682289143
2020-12-25,0.171621056772639
2020-12-26,0.1733606887839666
2020-12-27,0.16660153437956354
2020-12-28,0.16824827659712152
2020-12-29,0.17091416075131458
2020-12-30,0.1655913127234823
